MUNICIPIOS,VIGENCIA,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL Aves Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL  HUEVOS AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE AVES POR CICLO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE CICLOS Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES PRODUCIDOS*,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL  CARNE (Kgs),O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Número O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE de Colmenas,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Producción O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE Miel Kgs,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Precio al  Productor $/Kl,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CABALLAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES ASNAL,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES MULAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES BUFALINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUNICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUYICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OVINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CAPRINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OTROS
Tarqui,2014,3.200,928.000,24.000,6.000,"4,00",21.600,35.640,234,2.088,13.000,569,348,138,72,100,0,30,35,
Pitalito,2014,48.000,13.920.000,1.100.000,183.333,"6,00",990.000,1.633.500,2.150,85.600,13.000,6.500,120,450,80,250,650,95,185,
Acevedo,2014,2.250,652.500,30.000,7.500,"4,00",27.600,45.540,90,3.780,12.000,1.890,18,400,10,0,30,0,0,
Elias,2014,3.000,870.000,15.000,3.750,"4,00",13.800,22.770,15,450,12.000,134,7,30,8,300,0,0,0,
Isnos,2014,3.600,1.044.000,28.800,7.200,"4,00",26.496,43.718,45,1.800,12.000,2.350,320,230,,2500,6500,0,0,
Oporapa,2014,1.350,391.500,29.400,7.350,"4,00",27.048,44.629,10,240,10.000,800,12,125,0,35,360,10,50,
Palestina,2014,4.200,1.218.000,24.000,6.000,"4,00",22.080,36.432,150,6.000,9.000,810,5,200,2,70,450,0,45,
Saladoblanco,2014,1.800,522.000,9.600,2.400,"4,00",8.832,14.573,25,1.000,12.000,1.100,18,270,2,70,870,0,0,
San Agustín,2014,4.500,1.305.000,70.000,17.500,"4,00",64.400,106.260,1.465,57.500,12.000,2.080,18,160,20,3000,28000,150,40,
Timaná,2014,4.500,1.305.000,72.000,18.000,"4,00",66.240,109.296,1.100,45.000,12.000,2.350,20,150,10,150,20,30,10,
Neiva,2015,350.000,101.500.000,1.080.000,180.000,"6,00",972.000,1.603.800,550,16.500,16.500,3.400,750,2.420,270,600,1000,1.500,1.300,
Aipe,2015,2.000,580.000,315.000,70.000,"4,50",283.500,467.775,205,3.075,18.000,1.430,400,416,12,0,0,100,225,
Algeciras,2015,800,232.000,12.800,3.200,"4,00",11.776,19.430,820,47.250,16.000,350,250,300,0,200,150,300,150,
Baraya,2015,4.500,1.305.000,8.000,2.667,"3,00",7.200,11.880,0,0,,1.800,345,180,100,0,0,3.980,4.500,
