VIGENCIA,CODIGO DANE,MUNICIPIOS,CONSUMO DE ENERGIA Kwh,Valor
2017,41006,Acevedo,Oficial,272433
2017,41013,Agrado,Oficial,173707
2017,41016,Aipe,Oficial,899009
2017,41020,Algeciras,Oficial,401020
2017,41026,Altamira,Oficial,69713
2017,41078,Baraya,Oficial,229488
2017,41132,Campoalegre,Oficial,1202540
2017,41206,Colombia,Oficial,129497
2017,41548,El Pital,Oficial,173023
2017,41244,Elias,Oficial,63919
2017,41298,Garzon,Oficial,2187963
2017,41306,Gigante,Oficial,486574
2017,41319,Guadalupe,Oficial,380087
2017,41349,Hobo,Oficial,218556
2017,41357,Iquira,Oficial,127574
2017,41359,Isnos,Oficial,248983
2017,41378,La Argentina,Oficial,103477
2017,41396,La Plata,Oficial,1682762
2017,41483,Nataga,Oficial,59541
2017,41503,Oporapa,Oficial,101534
2017,41518,Paicol,Oficial,147950
2017,41524,Palermo,Oficial,906565
2017,41530,Palestina,Oficial,126427
2017,41551,Pitalito,Oficial,2574301
2017,41615,Rivera,Oficial,1154570
2017,41660,Saladoblanco,Oficial,131945
2017,41668,San Agustin,Oficial,323357
2017,41676,Santa Maria,Oficial,127252
2017,41770,Suaza,Oficial,259882
2017,41791,Tarqui,Oficial,228212
2017,41799,Tello,Oficial,234419
2017,41801,Teruel,Oficial,126405
2017,41797,Tesalia,Oficial,201338
2017,41807,Timana,Oficial,311844
2017,41872,Villavieja,Oficial,235026
2017,41885,Yaguara,Oficial,409766
2016,41001,Neiva,Oficial,26642463
2016,41006,Acevedo,Oficial,214414
2016,41013,Agrado,Oficial,98988
2016,41016,Aipe,Oficial,638381
2016,41020,Algeciras,Oficial,338399
2016,41026,Altamira,Oficial,54582
2016,41078,Baraya,Oficial,311877
2016,41132,Campoalegre,Oficial,570881
2016,41206,Colombia,Oficial,107026
2016,41244,Elias,Oficial,56027
2016,41298,Garzon,Oficial,1468575
2016,41306,Gigante,Oficial,285893
2016,41319,Guadalupe,Oficial,323592
2016,41349,Hobo,Oficial,132018
2016,41357,Iquira,Oficial,68008
2016,41359,Isnos,Oficial,205107
2016,41378,La Argentina,Oficial,88906
2016,41396,La Plata,Oficial,1361681
2016,41483,Nataga,Oficial,59053
2016,41503,Oporapa,Oficial,72957
2016,41518,Paicol,Oficial,110875
2016,41524,Palermo,Oficial,1283556
2016,41530,Palestina,Oficial,76200
2016,41548,Pital,Oficial,99359
2016,41551,Pitalito,Oficial,2740077
2016,41615,Rivera,Oficial,838048
2016,41660,Saladoblanco,Oficial,117995
2016,41668,San Agustin,Oficial,154803
2016,41676,Santa Maria,Oficial,86402
2016,41770,Suaza,Oficial,195907
2016,41791,Tarqui,Oficial,173246
2016,41799,Tello,Oficial,203840
2016,41801,Teruel,Oficial,121206
2016,41797,Tesalia,Oficial,113651
2016,41807,Timana,Oficial,157650
2016,41872,Villavieja,Oficial,163847
2016,41885,Yaguara,Oficial,243818
2015,41001,Neiva,Oficial,59494835
2015,41006,Acevedo,Oficial,278736
2015,41013,Agrado,Oficial,166817
2015,41016,Aipe,Oficial,910686
2015,41020,Algeciras,Oficial,375609
2015,41026,Altamira,Oficial,58959
2015,41078,Baraya,Oficial,373264
2015,41132,Campoalegre,Oficial,1302916
2015,41206,Colombia,Oficial,136653
2015,41244,Elias,Oficial,167836
2015,41298,Garzon,Oficial,65734
2015,41306,Gigante,Oficial,2745911
2015,41319,Guadalupe,Oficial,493141
2015,41349,Hobo,Oficial,360603
2015,41357,Iquira,Oficial,200424
2015,41359,Isnos,Oficial,116010
2015,41378,La Argentina,Oficial,261247
2015,41396,La Plata,Oficial,118449
2015,41483,Nataga,Oficial,2226740
2015,41503,Oporapa,Oficial,64731
2015,41518,Paicol,Oficial,108661
2015,41524,Palermo,Oficial,135579
2015,41530,Palestina,Oficial,2320268
2015,41548,Pital,Oficial,122886
2015,41551,Pitalito,Oficial,5245478
2015,41615,Rivera,Oficial,1550973
2015,41660,Saladoblanco,Oficial,116098
2015,41668,San Agustin,Oficial,331986
2015,41676,Santa Maria,Oficial,114216
2015,41770,Suaza,Oficial,255688
2015,41791,Tarqui,Oficial,288003
2015,41799,Tello,Oficial,265785
2015,41801,Teruel,Oficial,206581
2015,41797,Tesalia,Oficial,204630
2015,41807,Timana,Oficial,333395
2015,41872,Villavieja,Oficial,254282
2015,41885,Yaguara,Oficial,483964
2014,41001, NEIVA,Oficial,16666253
2014,41006, ACEVEDO,Oficial,201480
2014,41013, AGRADO,Oficial,74085
2014,41016, AIPE,Oficial,677461
2014,41020, ALGECIRAS,Oficial,333754
2014,41026, ALTAMIRA,Oficial,45575
2014,41078, BARAYA,Oficial,342526
2014,41132, CAMPOALEGRE,Oficial,575780
2014,41206, COLOMBIA,Oficial,126002
2014,41244,Elias,Oficial,58994
2014,41298,Garzon,Oficial,1224149
2014,41306, GIGANTE,Oficial,243276
2014,41319, GUADALUPE,Oficial,305093
2014,41349, HOBO,Oficial,133334
2014,41357, IQUIRA,Oficial,75838
2014,41359, ISNOS,Oficial,200660
2014,41378, LA ARGENTINA,Oficial,99818
2014,41396, LA PLATA,Oficial,1349204
2014,41483,Nataga,Oficial,58018
2014,41503, OPORAPA,Oficial,81343
2014,41518, PAICOL,Oficial,114922
2014,41524, PALERMO,Oficial,737343
2014,41530, PALESTINA,Oficial,90802
2014,41548, PITAL,Oficial,105386
2014,41551, PITALITO,Oficial,1913679
2014,41615, RIVERA,Oficial,1025142
2014,41660,Saladoblanco,Oficial,95382
2014,41668,San Agustin,Oficial,192726
2014,41676,Santa Maria,Oficial,84380
2014,41770, SUAZA,Oficial,196671
2014,41791, TARQUI,Oficial,146184
2014,41799, TELLO,Oficial,227688
2014,41801, TERUEL,Oficial,153804
2014,41797, TESALIA,Oficial,134666
2014,41807,Timana,Oficial,150198
2014,41872, VILLAVIEJA,Oficial,134906
2014,41885,Yaguara,Oficial,220039
2013,41001, NEIVA,Oficial,27302127
2013,41006, ACEVEDO,Oficial,207593
2013,41013, AGRADO,Oficial,74862
2013,41016, AIPE,Oficial,647341
2013,41020, ALGECIRAS,Oficial,306011
2013,41026, ALTAMIRA,Oficial,42876
2013,41078, BARAYA,Oficial,355378
2013,41132, CAMPOALEGRE,Oficial,524904
2013,41206, COLOMBIA,Oficial,125221
2013,41244, EL PITAL,Oficial,109247
2013,41298,Elias,Oficial,55323
2013,41306,Garzon,Oficial,1228773
2013,41319, GIGANTE,Oficial,237311
2013,41349, GUADALUPE,Oficial,332934
2013,41357, HOBO,Oficial,119981
2013,41359, IQUIRA,Oficial,83315
2013,41378, ISNOS,Oficial,196965
2013,41396, LA ARGENTINA,Oficial,105243
2013,41483, LA PLATA,Oficial,1256791
2013,41503,Nataga,Oficial,62813
2013,41518, OPORAPA,Oficial,88935
2013,41524, PAICOL,Oficial,101697
2013,41530, PALERMO,Oficial,1647231
2013,41548, PALESTINA,Oficial,100185
2013,41551, PITALITO,Oficial,2848690
2013,41615, RIVERA,Oficial,911200
2013,41660,Saladoblanco,Oficial,93089
2013,41668,San Agustin,Oficial,181807
2013,41676,Santa Maria,Oficial,84684
2013,41770, SUAZA,Oficial,196153
2013,41791, TARQUI,Oficial,139227
2013,41799, TELLO,Oficial,217291
2013,41801, TERUEL,Oficial,96351
2013,41797, TESALIA,Oficial,129098
2013,41807,Timana,Oficial,138799
2013,41872, VILLAVIEJA,Oficial,116729
2013,41885,Yaguara,Oficial,201968
2018,41001,Neiva,Industrial Riego Autoconsumo y Alumbrado Publico,25482180
2018,41006,Acevedo,Industrial Riego Autoconsumo y Alumbrado Publico,582408
2018,41013,Agrado,Industrial Riego Autoconsumo y Alumbrado Publico,576832
2018,41016,Aipe,Industrial Riego Autoconsumo y Alumbrado Publico,2783773
2018,41020,Algeciras,Industrial Riego Autoconsumo y Alumbrado Publico,551295
