vigencia,CODIGO DANE,MPIO.,ESTRATO,Mes,Usuario
2016,41791,TARQUI,Industrial,NOVIEMBRE,0
2016,41791,TARQUI,Industrial,DICIEMBRE,0
2016,41799,TELLO,Industrial,ENERO,0
2016,41799,TELLO,Industrial,FEBRERO,0
2016,41799,TELLO,Industrial,MARZO,0
2016,41799,TELLO,Industrial,ABRIL,0
2016,41799,TELLO,Industrial,MAYO,0
2016,41799,TELLO,Industrial,JUNIO,0
2016,41799,TELLO,Industrial,JULIO,0
2016,41799,TELLO,Industrial,AGOSTO,0
2016,41799,TELLO,Industrial,SEPTIEMBRE,0
2016,41799,TELLO,Industrial,OCTUBRE,0
2016,41799,TELLO,Industrial,NOVIEMBRE,0
2016,41799,TELLO,Industrial,DICIEMBRE,0
2016,41801,TERUEL,Industrial,ENERO,0
2016,41801,TERUEL,Industrial,FEBRERO,0
2016,41801,TERUEL,Industrial,MARZO,0
2016,41801,TERUEL,Industrial,ABRIL,0
2016,41801,TERUEL,Industrial,MAYO,0
2016,41801,TERUEL,Industrial,JUNIO,0
2016,41801,TERUEL,Industrial,JULIO,0
2016,41801,TERUEL,Industrial,AGOSTO,0
2016,41801,TERUEL,Industrial,SEPTIEMBRE,0
2016,41801,TERUEL,Industrial,OCTUBRE,0
2016,41801,TERUEL,Industrial,NOVIEMBRE,0
2016,41801,TERUEL,Industrial,DICIEMBRE,0
2016,41797,TESALIA,Industrial,ENERO,0
2016,41797,TESALIA,Industrial,FEBRERO,0
2016,41797,TESALIA,Industrial,MARZO,0
2016,41797,TESALIA,Industrial,ABRIL,0
2016,41797,TESALIA,Industrial,MAYO,0
2016,41797,TESALIA,Industrial,JUNIO,0
2016,41797,TESALIA,Industrial,JULIO,0
2016,41797,TESALIA,Industrial,AGOSTO,0
2016,41797,TESALIA,Industrial,SEPTIEMBRE,0
2016,41797,TESALIA,Industrial,OCTUBRE,0
2016,41797,TESALIA,Industrial,NOVIEMBRE,0
2016,41797,TESALIA,Industrial,DICIEMBRE,0
2016,41872,VILLAVIEJA,Industrial,ENERO,0
2016,41872,VILLAVIEJA,Industrial,FEBRERO,0
2016,41872,VILLAVIEJA,Industrial,MARZO,0
2016,41872,VILLAVIEJA,Industrial,ABRIL,0
2016,41872,VILLAVIEJA,Industrial,MAYO,0
2016,41872,VILLAVIEJA,Industrial,JUNIO,0
2016,41872,VILLAVIEJA,Industrial,JULIO,0
2016,41872,VILLAVIEJA,Industrial,AGOSTO,0
2016,41872,VILLAVIEJA,Industrial,SEPTIEMBRE,0
2016,41872,VILLAVIEJA,Industrial,OCTUBRE,0
2016,41872,VILLAVIEJA,Industrial,NOVIEMBRE,0
