VIGENCIA,CODIGO DANE,MUNICIPIOS,SECTORES,Cant
2018,41016,Aipe,Riego,630521
2018,41001,Neiva,Riego,204107
2017,41885,Yaguara,Riego,1076445
2017,41872,Villavieja,Riego,2739367
2017,41797,Tesalia,Riego,554560
2017,41799,Tello,Riego,658560
2017,41791,Tarqui,Riego,526
2017,41615,Rivera,Riego,227892
2017,41524,Palermo,Riego,3710566
2017,41357,Iquira,Riego,61945
2017,41349,Hobo,Riego,661
2017,41548,El Pital,Riego,561
2017,41132,Campoalegre,Riego,1063747
2017,41078,Baraya,Riego,96297
2017,41026,Altamira,Riego,178800
2017,41016,Aipe,Riego,704942
2017,41001,Neiva,Riego,147519
2016,41885,Yaguara,Riego,1455136
2016,41872,Villavieja,Riego,2522455
2016,41797,Tesalia,Riego,1612284
2016,41799,Tello,Riego,387600
2016,41791,Tarqui,Riego,784
2016,41615,Rivera,Riego,366024
2016,41524,Palermo,Riego,12969867
2016,41357,Iquira,Riego,125706
2016,41132,Campoalegre,Riego,312058
2016,41078,Baraya,Riego,92610
2016,41026,Altamira,Riego,76800
2016,41016,Aipe,Riego,7804059
2016,41001,Neiva,Riego,568971
2015,41885,Yaguara,Riego,4767657
2015,41872,Villavieja,Riego,4390471
2015,41797,Tesalia,Riego,3195822
2015,41799,Tello,Riego,773880
2015,41791,Tarqui,Riego,1611
2015,41615,Rivera,Riego,210789
2015,41530,Palestina,Riego,24024722
2015,41359,Isnos,Riego,71845
2015,41132,Campoalegre,Riego,451160
2015,41078,Baraya,Riego,186129
2015,41026,Altamira,Riego,15600
2015,41016,Aipe,Riego,11555013
2015,41013,Agrado,Riego,105600
2015,41001,Neiva,Riego,730491
2014,41885,Yaguara,Riego,972180
2014,41872, Villavieja,Riego,270737
2014,41797, Tesalia,Riego,286080
2014,41799, Tello,Riego,180660
2014,41791, Tarqui,Riego,1230
2014,41615, Rivera,Riego,61384
2014,41524, Palermo,Riego,1327775
2014,41357, Iquira,Riego,18633
2014,41132, Campoalegre,Riego,25276
2014,41078, Baraya,Riego,121473
2014,41026, Altamira,Riego,1
2014,41016, Aipe,Riego,429091
2014,41006, Acevedo,Riego,225050
2014,41001, Neiva,Riego,132655
2013,41885,Yaguara,Riego,1570460
2013,41872, Villavieja,Riego,918392
2013,41797, Tesalia,Riego,1269249
2013,41799, Tello,Riego,358591
2013,41791, Tarqui,Riego,816
2013,41615, Rivera,Riego,64819
2013,41530, Palermo,Riego,11167408
2013,41359, Iquira,Riego,17176
2013,41132, Campoalegre,Riego,28271
2013,41078, Baraya,Riego,116763
2013,41016, Aipe,Riego,6679060
2013,41013, Agrado,Riego,218900
2013,41001, Neiva,Riego,286342
2018,41885,Yaguara,Autoconsumo,56488
2018,41807,Timana,Autoconsumo,17479
2018,41791,Tarqui,Autoconsumo,750
2018,41676,Santa Maria,Autoconsumo,6939
2018,41668,San Agustin,Autoconsumo,12520
2018,41615,Rivera,Autoconsumo,8325
2018,41551,Pitalito,Autoconsumo,110805
2018,41548,El Pital,Autoconsumo,3840
2018,41524,Palermo,Autoconsumo,1103602
2018,41503,Oporapa,Autoconsumo,7716
2018,41396,La Plata,Autoconsumo,117473
2018,41359,Isnos,Autoconsumo,7149
2018,41357,Iquira,Autoconsumo,91117
2018,41349,Hobo,Autoconsumo,81300
2018,41319,Guadalupe,Autoconsumo,4959
2018,41306,Gigante,Autoconsumo,12803
2018,41298,Garzon,Autoconsumo,176221
2018,41206,Colombia,Autoconsumo,7147
2018,41132,Campoalegre,Autoconsumo,72457
2018,41078,Baraya,Autoconsumo,8196
2018,41026,Altamira,Autoconsumo,208888
2018,41020,Algeciras,Autoconsumo,2777
2018,41016,Aipe,Autoconsumo,7165
2018,41006,Acevedo,Autoconsumo,4603
2018,41001,Neiva,Autoconsumo,1123379
2017,41885,Yaguara,Autoconsumo,47346
2017,41807,Timana,Autoconsumo,5232
2017,41791,Tarqui,Autoconsumo,1761
2017,41676,Santa Maria,Autoconsumo,7115
2017,41668,San Agustin,Autoconsumo,5886
2017,41615,Rivera,Autoconsumo,9680
2017,41551,Pitalito,Autoconsumo,130886
2017,41524,Palermo,Autoconsumo,1193294
2017,41503,Oporapa,Autoconsumo,3532
2017,41396,La Plata,Autoconsumo,111535
2017,41359,Isnos,Autoconsumo,7105
2017,41357,Iquira,Autoconsumo,65146
2017,41349,Hobo,Autoconsumo,77880
2017,41319,Guadalupe,Autoconsumo,6388
2017,41306,Gigante,Autoconsumo,3379
2017,41298,Garzon,Autoconsumo,167402
2017,41548,El Pital,Autoconsumo,4601
2017,41206,Colombia,Autoconsumo,5000
2017,41132,Campoalegre,Autoconsumo,61357
2017,41078,Baraya,Autoconsumo,3807
2017,41026,Altamira,Autoconsumo,281123
2017,41016,Aipe,Autoconsumo,3678
2017,41006,Acevedo,Autoconsumo,5006
2017,41001,Neiva,Autoconsumo,1099606
2016,41020,Algeciras,Autoconsumo,1576
2016,41885,Yaguara,Autoconsumo,48645
2016,41807,Timana,Autoconsumo,9637
2016,41791,Tarqui,Autoconsumo,6189
2016,41676,Santa Maria,Autoconsumo,7060
2016,41668,San Agustin,Autoconsumo,8961
2016,41615,Rivera,Autoconsumo,10699
2016,41551,Pitalito,Autoconsumo,119647
